epoch,loss,acc,top_k_categorical_accuracy,val_loss,val_acc,val_top_k_categorical_accuracy
1,2.1424,0.4428,0.7526,1.4779,0.572,0.8808
2,1.4205,0.584,0.8874,1.3501,0.6031,0.8978
3,1.2756,0.6193,0.9083,1.2788,0.6229,0.9109
4,1.1896,0.6404,0.9199,1.2534,0.6281,0.9115
5,1.1169,0.6601,0.9288,1.2243,0.6355,0.9182
6,1.0628,0.6737,0.936,1.2234,0.6367,0.918
7,0.9908,0.6854,0.9398,1.1924,0.6415,0.9224
8,0.9708,0.6986,0.9458,1.1786,0.6482,0.9248
9,0.9525,0.7029,0.9474,1.187,0.6464,0.9214
10,0.9525,0.7042,0.9481,1.1926,0.6485,0.9202
11,0.9551,0.7048,0.9473,1.1925,0.6444,0.9208
12,0.9531,0.7035,0.9477,1.192,0.6426,0.9188
13,0.9527,0.7046,0.9477,1.1908,0.6434,0.9213
