epoch,loss,acc,top_k_categorical_accuracy,val_loss,val_acc,val_top_k_categorical_accuracy
1,3.6547,0.1327,0.3648,3.3273,0.1834,0.4619
2,2.8472,0.2731,0.5875,2.8511,0.2715,0.5869
3,2.649,0.3132,0.6373,2.6556,0.3197,0.6362
4,2.4884,0.3468,0.6743,2.5404,0.3396,0.6636
5,2.3693,0.371,0.7024,2.4359,0.364,0.6689
6,2.1188,0.4272,0.7544,2.2608,0.4065,0.7282
7,1.9426,0.4662,0.79,2.0981,0.4373,0.7611
8,1.8974,0.4763,0.7977,2.0922,0.4339,0.7588
9,1.8523,0.4874,0.8069,2.0423,0.4461,0.7701
10,1.8127,0.4945,0.814,1.996,0.4563,0.7817
11,1.7787,0.5028,0.8202,1.9735,0.4676,0.7878
12,1.7412,0.5108,0.8271,1.9383,0.4731,0.7908
13,1.707,0.5189,0.8331,2.0603,0.4501,0.7675
14,1.6484,0.5335,0.8434,1.9456,0.4758,0.7939
15,1.6217,0.5395,0.8483,2.0024,0.4571,0.7797
16,1.594,0.5446,0.8521,1.832,0.4954,0.8108
17,1.5649,0.5523,0.8571,1.8198,0.5035,0.8181
18,1.5457,0.5565,0.86,1.7939,0.5065,0.8214
19,1.5222,0.5621,0.8644,1.8159,0.5038,0.8164
20,1.5204,0.5627,0.8654,1.8483,0.4952,0.8099
21,1.4931,0.5689,0.8691,1.8112,0.5044,0.8188
22,1.4722,0.5751,0.8725,1.8108,0.5046,0.8211
23,1.4493,0.5795,0.8768,1.8109,0.5087,0.8177
24,1.431,0.5837,0.8801,1.7835,0.5152,0.8197
25,1.4083,0.5894,0.882,1.7816,0.5137,0.8218
26,1.3863,0.5953,0.8864,1.8545,0.4988,0.8159
27,1.3479,0.6039,0.8923,1.8188,0.5011,0.8182
28,1.3277,0.6076,0.8953,1.809,0.5117,0.8219
29,1.3104,0.6122,0.8986,1.7614,0.5211,0.8299
30,1.2915,0.6167,0.9006,1.7807,0.5205,0.8228
31,1.2712,0.6227,0.9043,1.7763,0.522,0.8264
32,1.2498,0.6271,0.9071,1.7659,0.5254,0.8309
33,1.2329,0.6308,0.9093,1.7549,0.5249,0.8293
34,1.2099,0.636,0.9129,1.785,0.5197,0.8279
35,1.1974,0.6398,0.9152,1.7981,0.5223,0.8237
