epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
1,0.400513164,2.482733144,0.731869198,0.389923878,2.557116689,0.715745192
2,0.405674632,2.45864318,0.735560759,0.391308752,2.511895524,0.72649919
3,0.408456412,2.433736277,0.739403218,0.409136953,2.451297843,0.738756078
4,0.412433958,2.411553847,0.742835415,0.40447731,2.448847267,0.734704214
5,0.416731708,2.390220717,0.746192563,0.411061588,2.423847745,0.739566451
6,0.416494656,2.383766877,0.748235887,0.410657051,2.415864931,0.741085737
7,0.420327208,2.358770675,0.750812416,0.408427877,2.435136299,0.736122366
8,0.425713966,2.331610977,0.754782449,0.418354943,2.378002616,0.747872771
9,0.429231767,2.30769454,0.758168182,0.422305511,2.349266713,0.747771475
10,0.435362906,2.282564793,0.762638471,0.428687196,2.32749756,0.754254457
11,0.453370078,2.184076945,0.778774208,0.435997596,2.261464113,0.76171875
12,0.456241995,2.1633689,0.781590218,0.438512966,2.258929871,0.767625608
13,0.459424031,2.149798516,0.784096822,0.429902755,2.278094792,0.761952998
14,0.462480988,2.134351117,0.785672831,0.444793355,2.229112197,0.768030794
15,0.465197727,2.116145726,0.788099384,0.448034846,2.215456323,0.770867099
16,0.467979507,2.101619704,0.791091298,0.443273906,2.23535909,0.765599676
17,0.473092779,2.083607348,0.794323367,0.446616694,2.192794755,0.776134522
18,0.474288545,2.069259048,0.79635967,0.448642626,2.186729344,0.777653971
19,0.47535923,2.055741786,0.799166467,0.446920583,2.178832633,0.775628039
20,0.479381804,2.039950239,0.800682437,0.448642626,2.168136859,0.779578606
