epoch,loss,acc,top_k_categorical_accuracy,val_loss,val_acc,val_top_k_categorical_accuracy
1,2.4225,0.3622,0.6889,2.5902,0.3306,0.6569
2,2.3552,0.3744,0.7035,2.4733,0.3617,0.6838
3,2.2914,0.389,0.7177,2.4582,0.3573,0.6885
4,2.235,0.4014,0.7289,2.4449,0.362,0.6804
5,2.1834,0.4132,0.7397,2.3198,0.394,0.7172
6,2.1362,0.4239,0.7509,2.4601,0.3612,0.6847
7,2.0908,0.4335,0.7601,2.3375,0.3885,0.7078
8,2.047,0.4434,0.7684,2.2421,0.4061,0.7322
9,2.0066,0.4523,0.7762,2.2325,0.4162,0.7356
10,1.9478,0.4614,0.7842,2.3034,0.3872,0.7203
11,1.9315,0.4691,0.7914,2.1914,0.4182,0.7497
12,1.8943,0.4775,0.7979,2.1876,0.4218,0.7471
13,1.8602,0.4846,0.8045,2.1647,0.4315,0.7534
14,1.834,0.4901,0.8097,2.1917,0.4276,0.7454
15,1.7933,0.5,0.8179,2.0991,0.4398,0.7634
16,1.7648,0.507,0.8212,2.0719,0.4476,0.7709
17,1.7398,0.5116,0.8272,2.0851,0.4469,0.7645
18,1.7084,0.5196,0.8313,2.1379,0.4362,0.7623
19,1.682,0.5261,0.8364,2.0941,0.451,0.7688
20,1.6526,0.5314,0.8426,2.1215,0.4404,0.7656
21,1.6292,0.5376,0.8462,2.1902,0.44,0.7419
22,1.6055,0.5423,0.8509,2.0335,0.4599,0.7793
23,1.5776,0.5487,0.8552,2.1064,0.4479,0.7699
24,1.5551,0.5559,0.859,2.0356,0.4567,0.7844
25,1.5301,0.5607,0.8622,2.0819,0.4547,0.7735
26,1.5028,0.5669,0.8647,1.9693,0.4761,0.7963
