epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
1,0.15164,3.47008916,0.40208,0.2575,2.850285521,0.584600003
2,0.314793334,2.575015661,0.654000003,0.363300001,2.358376499,0.709400004
3,0.392626667,2.230019344,0.737186668,0.415199999,2.140010393,0.753799999
4,0.433166666,2.048891566,0.775486664,0.446899999,2.002092655,0.783399997
5,0.460533332,1.935147139,0.797506662,0.4739,1.908383934,0.800599995
6,0.471086666,1.896925123,0.804126662,0.488299999,1.849408183,0.811699996
7,0.498199999,1.77166096,0.827306661,0.496899998,1.794572529,0.826199995
8,0.516933333,1.692125487,0.841526661,0.516599999,1.71868087,0.841199996
9,0.532766668,1.634525504,0.851259995,0.521000001,1.688190427,0.838999993
10,0.541186667,1.590166556,0.858306661,0.5233,1.67053451,0.844599994
11,0.536913334,1.612245422,0.854286661,0.528400001,1.665942518,0.847799993
12,0.553213335,1.54505352,0.866386661,0.545400001,1.608462845,0.854799995
13,0.565493335,1.494511393,0.873953329,0.5504,1.579950703,0.859199994
14,0.574420002,1.456186564,0.880039996,0.553900002,1.561186461,0.865899993
15,0.581920003,1.426691557,0.883913329,0.558800003,1.546463908,0.862599995
16,0.572826669,1.463131839,0.878773329,0.5489,1.564243828,0.864099994
17,0.586533336,1.410316285,0.886986662,0.565000002,1.514664492,0.871699995
18,0.596900003,1.371509167,0.893593329,0.564100001,1.512448105,0.873199998
19,0.60234667,1.34481,0.897186663,0.5666,1.492006033,0.872899996
20,0.609326671,1.322719439,0.899113329,0.576900004,1.472252969,0.877899995
21,0.612853337,1.301941134,0.902479996,0.574300002,1.482035891,0.877199995
22,0.61740667,1.284689518,0.90515333,0.585700003,1.451391569,0.880799995
23,0.620853337,1.271079383,0.90731333,0.582200003,1.447519165,0.886199996
24,0.624353337,1.257278576,0.909066663,0.584000003,1.446999927,0.881399995
25,0.626406671,1.249716916,0.910379996,0.585200004,1.445340464,0.883399996
26,0.607073337,1.31652884,0.900799996,0.574100002,1.492832756,0.875299996
27,0.618586671,1.276088947,0.906933329,0.575000004,1.473679925,0.877499996
28,0.626333337,1.245407936,0.911206663,0.574900003,1.474847316,0.879499995
29,0.633006671,1.220375307,0.913939997,0.586500003,1.438894432,0.883099995
30,0.638960004,1.202521984,0.916319996,0.583400004,1.440014233,0.884299997
31,0.640426671,1.194606195,0.916899997,0.588700002,1.432979792,0.885399996
32,0.644253338,1.178930588,0.918966663,0.586800003,1.419098189,0.888199995
33,0.645940005,1.167335997,0.920719997,0.590800005,1.428979512,0.885199996
34,0.648813338,1.160812573,0.92225333,0.594100002,1.41927,0.888899996
35,0.651560004,1.148436524,0.92269333,0.590900003,1.411121063,0.887999995
36,0.635833338,1.210614477,0.91577333,0.583100003,1.44879683,0.883199995
37,0.644926671,1.175882435,0.919899997,0.594000002,1.438425362,0.886499996
38,0.650353338,1.149928768,0.92387333,0.591100003,1.423251609,0.886999995
39,0.656400005,1.129820768,0.925486663,0.593000003,1.426911774,0.883399994
40,0.662526672,1.109669766,0.928353331,0.595100002,1.40459118,0.891699993
41,0.664520005,1.095174023,0.930079997,0.596700005,1.405589437,0.888599997
42,0.661600004,1.104040986,0.929706664,0.594900003,1.424799511,0.888399996
43,0.673160005,1.070094637,0.933986664,0.597300003,1.421651187,0.888799997
44,0.679260005,1.039606231,0.936899998,0.599100004,1.414151221,0.890099997
45,0.684073338,1.021569788,0.938766665,0.601100005,1.403257199,0.893399997
46,0.689500004,1.003643017,0.941119997,0.599900004,1.401101215,0.891299993
