epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
1,0.064,4.1717,0.2144,0.1079,3.8524,0.3166
2,0.1194,3.7785,0.3334,0.1243,3.777,0.3406
3,0.1407,3.6323,0.3772,0.1528,3.5621,0.3986
4,0.1579,3.527,0.4052,0.1487,3.6246,0.387
5,0.1723,3.4476,0.4277,0.1842,3.39,0.4486
6,0.1816,3.3836,0.4438,0.1866,3.3756,0.4523
7,0.1905,3.329,0.4605,0.2013,3.3101,0.4739
8,0.1987,3.2888,0.4725,0.2087,3.2695,0.4814
9,0.2043,3.2508,0.4818,0.2115,3.2346,0.4905
10,0.2103,3.2197,0.4912,0.211,3.2491,0.4901
11,0.2151,3.1898,0.4984,0.2159,3.196,0.4973
12,0.1971,3.2937,0.4724,0.2165,3.2076,0.4945
13,0.2164,3.1807,0.5012,0.226,3.1578,0.5099
14,0.2291,3.1106,0.5206,0.2402,3.0863,0.5311
15,0.2391,3.0586,0.5345,0.2429,3.0713,0.5326
16,0.2474,3.0175,0.544,0.2531,3.0038,0.5515
17,0.2534,2.9758,0.5551,0.2598,2.9728,0.5535
18,0.2615,2.9424,0.5643,0.2515,3.0124,0.5453
19,0.2536,2.9905,0.5508,0.2594,2.6973,0.5567
20,0.2707,2.8915,0.5758,0.2753,2.8949,0.5755
21,0.2829,2.8318,0.5904,0.2766,2.9003,0.5746
22,0.2927,2.7886,0.6015,0.2915,2.8095,0.5977
23,0.2999,2.7489,0.6114,0.2939,2.7743,0.6089
24,0.3054,2.713,0.6204,0.2981,2.7694,0.6079
25,0.3118,2.6856,0.6257,0.3062,2.75,0.6122
26,0.3172,2.659,0.6331,0.3051,2.7229,0.6197
27,0.3004,2.7449,0.6131,0.2908,2.8056,0.6023
28,0.3163,2.6588,0.6324,0.3119,2.7284,0.6175
29,0.3224,2.6342,0.6398,0.3117,2.6986,0.6242
30,0.3384,2.5601,0.6565,0.3268,2.6136,0.6423
31,0.349,2.5064,0.6685,0.3398,2.5538,0.6612
32,0.3568,2.4679,0.6778,0.3355,2.5997,0.6434
33,0.3517,2.4957,0.6713,0.3286,2.5767,0.6481
34,0.366,2.417,0.6898,0.35,2.4953,0.6725
35,0.3783,2.3695,0.6998,0.3577,2.462,0.6822
36,0.386,2.3273,0.7085,0.3571,2.4881,0.6777
37,0.3911,2.3005,0.7148,0.3635,2.433,0.6919
38,0.3986,2.2694,0.7208,0.3692,2.4259,0.6868
39,0.4028,2.249,0.7246,0.3749,2.4217,0.6804
40,0.4071,2.2289,0.7301,0.3784,2.3727,0.6976
41,0.3821,2.3422,0.7071,0.3661,2.4228,0.6884
