epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
1,0.2235,4.4044,0.4734,0.474,3.0061,0.8014
2,0.4591,2.8992,0.7921,0.5618,2.4091,0.8695
3,0.525,2.5106,0.8442,0.588,2.2034,0.8883
4,0.572796628,2.253661025,0.878120999,0.602263622,2.113640005,0.897235577
5,0.586556931,2.165250253,0.885611194,0.611111111,2.050195548,0.902677134
6,0.59532734,2.0919303,0.892760911,0.616344605,1.993501617,0.904891304
7,0.606305357,2.02152764,0.899050261,0.618458132,1.951157171,0.907809984
8,0.615235834,1.962890411,0.902791858,0.627113527,1.898912925,0.911634461
9,0.624426422,1.90398646,0.907647263,0.625100644,1.863607006,0.914049919
10,0.631215985,1.848510771,0.912075819,0.628925121,1.832570991,0.914150564
11,0.636584943,1.803100499,0.914783641,0.637379227,1.794776758,0.916566023
12,0.64291431,1.756937066,0.918025024,0.638083736,1.766458227,0.916968599
13,0.648563387,1.712707087,0.921079661,0.637882448,1.741297655,0.916163446
14,0.653735862,1.672302938,0.924302443,0.640224359,1.713162732,0.918269231
15,0.658734393,1.634642924,0.926315228,0.642008857,1.688415766,0.920692432
16,0.664616903,1.595350229,0.929096414,0.644223027,1.658209492,0.922302738
17,0.669905826,1.56013896,0.93080381,0.641505636,1.64436424,0.921296296
18,0.67450779,1.527851338,0.932744638,0.643820451,1.630150832,0.920591787
19,0.679796713,1.493865819,0.934592093,0.645330113,1.602469307,0.92310789
20,0.681904279,1.463536664,0.936826379,0.644122383,1.588025167,0.922403382
21,0.687079821,1.43470213,0.938973962,0.649456522,1.569699804,0.923812399
22,0.689674261,1.409633594,0.940281187,0.651268116,1.551554747,0.92260467
23,0.693976096,1.378680877,0.942642194,0.647342995,1.548139516,0.92260467
24,0.6983,1.3503,0.9436,0.6492,1.5282,0.9251
25,0.7012,1.3269,0.9452,0.6509,1.5179,0.9245
26,0.7063,1.3015,0.9458,0.6518,1.5014,0.9237
27,0.7099,1.2789,0.9475,0.6504,1.4979,0.9237
28,0.711867798,1.256245669,0.948756936,0.651842949,1.483528511,0.925380609
29,0.717352737,1.231223024,0.951052449,0.650563607,1.475897368,0.923913044
30,0.720667485,1.208879163,0.95254642,0.652073269,1.467840654,0.92431562
31,0.724809252,1.188937942,0.953253388,0.654991949,1.459415878,0.925422705
32,0.728270729,1.16699281,0.954800715,0.651871981,1.448403401,0.925925926
